time,kw
2016-01-01 00:00:00,0
2016-01-01 01:00:00,0
2016-01-01 02:00:00,0
2016-01-01 03:00:00,0
2016-01-01 04:00:00,0
2016-01-01 05:00:00,0
2016-01-01 06:00:00,0
2016-01-01 07:00:00,37.4525
2016-01-01 08:00:00,150.75
2016-01-01 09:00:00,673.5
2016-01-01 10:00:00,1179.5
2016-01-01 11:00:00,915.75
2016-01-01 12:00:00,689.5
2016-01-01 13:00:00,980.5
2016-01-01 14:00:00,1254.25
2016-01-01 15:00:00,892.5
2016-01-01 16:00:00,82.5875
2016-01-01 17:00:00,0
2016-01-01 18:00:00,0
2016-01-01 19:00:00,0
2016-01-01 20:00:00,0
2016-01-01 21:00:00,0
2016-01-01 22:00:00,0
2016-01-01 23:00:00,0
2016-01-02 00:00:00,0
2016-01-02 01:00:00,0
2016-01-02 02:00:00,0
2016-01-02 03:00:00,0
2016-01-02 04:00:00,0
2016-01-02 05:00:00,0
2016-01-02 06:00:00,0
2016-01-02 07:00:00,144.1875
2016-01-02 08:00:00,1167
2016-01-02 09:00:00,2226
2016-01-02 10:00:00,3288.5
2016-01-02 11:00:00,3914.5
2016-01-02 12:00:00,3828.5
2016-01-02 13:00:00,3016.5
2016-01-02 14:00:00,1994.5
2016-01-02 15:00:00,938.75
2016-01-02 16:00:00,86.255
2016-01-02 17:00:00,0
2016-01-02 18:00:00,0
2016-01-02 19:00:00,0
2016-01-02 20:00:00,0
2016-01-02 21:00:00,0
2016-01-02 22:00:00,0
2016-01-02 23:00:00,0
2016-01-03 00:00:00,0
2016-01-03 01:00:00,0
2016-01-03 02:00:00,0
2016-01-03 03:00:00,0
2016-01-03 04:00:00,0
2016-01-03 05:00:00,0
2016-01-03 06:00:00,0
2016-01-03 07:00:00,133.7275
2016-01-03 08:00:00,1092.25
2016-01-03 09:00:00,2224.25
2016-01-03 10:00:00,3312.75
2016-01-03 11:00:00,3201
2016-01-03 12:00:00,1542.25
2016-01-03 13:00:00,760.25
2016-01-03 14:00:00,443.75
2016-01-03 15:00:00,179.725
2016-01-03 16:00:00,22.62
2016-01-03 17:00:00,0
2016-01-03 18:00:00,0
2016-01-03 19:00:00,0
2016-01-03 20:00:00,0
2016-01-03 21:00:00,0
2016-01-03 22:00:00,0
2016-01-03 23:00:00,0
2016-01-04 00:00:00,0
2016-01-04 01:00:00,0
2016-01-04 02:00:00,0
2016-01-04 03:00:00,0
2016-01-04 04:00:00,0
2016-01-04 05:00:00,0
2016-01-04 06:00:00,0
2016-01-04 07:00:00,147.57
2016-01-04 08:00:00,1196.75
2016-01-04 09:00:00,2278.5
2016-01-04 10:00:00,3414.25
2016-01-04 11:00:00,4053
2016-01-04 12:00:00,3914.25
2016-01-04 13:00:00,3116.25
2016-01-04 14:00:00,1568.25
2016-01-04 15:00:00,405.15
2016-01-04 16:00:00,18.395
2016-01-04 17:00:00,0
2016-01-04 18:00:00,0
2016-01-04 19:00:00,0
2016-01-04 20:00:00,0
2016-01-04 21:00:00,0
2016-01-04 22:00:00,0
2016-01-04 23:00:00,0
2016-01-05 00:00:00,0
2016-01-05 01:00:00,0
2016-01-05 02:00:00,0
2016-01-05 03:00:00,0
2016-01-05 04:00:00,0
2016-01-05 05:00:00,0
2016-01-05 06:00:00,0
2016-01-05 07:00:00,148.49
2016-01-05 08:00:00,1128
2016-01-05 09:00:00,2276.5
2016-01-05 10:00:00,3103.75
2016-01-05 11:00:00,3753.75
2016-01-05 12:00:00,3741
2016-01-05 13:00:00,3031.5
2016-01-05 14:00:00,1850.75
2016-01-05 15:00:00,908.5
2016-01-05 16:00:00,151.3625
2016-01-05 17:00:00,0
2016-01-05 18:00:00,0
2016-01-05 19:00:00,0
2016-01-05 20:00:00,0
2016-01-05 21:00:00,0
2016-01-05 22:00:00,0
2016-01-05 23:00:00,0
2016-01-06 00:00:00,0
2016-01-06 01:00:00,0
2016-01-06 02:00:00,0
2016-01-06 03:00:00,0
2016-01-06 04:00:00,0
2016-01-06 05:00:00,0
2016-01-06 06:00:00,0
2016-01-06 07:00:00,100.885
2016-01-06 08:00:00,972.5
2016-01-06 09:00:00,1236.75
2016-01-06 10:00:00,1762.5
2016-01-06 11:00:00,2952.5
2016-01-06 12:00:00,2082
2016-01-06 13:00:00,1930.25
2016-01-06 14:00:00,1172.75
2016-01-06 15:00:00,461.25
2016-01-06 16:00:00,56.2415
2016-01-06 17:00:00,0
2016-01-06 18:00:00,0
2016-01-06 19:00:00,0
2016-01-06 20:00:00,0
2016-01-06 21:00:00,0
2016-01-06 22:00:00,0
2016-01-06 23:00:00,0
2016-01-07 00:00:00,0
2016-01-07 01:00:00,0
2016-01-07 02:00:00,0
2016-01-07 03:00:00,0
2016-01-07 04:00:00,0
2016-01-07 05:00:00,0
2016-01-07 06:00:00,0
2016-01-07 07:00:00,117.735
2016-01-07 08:00:00,725
2016-01-07 09:00:00,697.75
2016-01-07 10:00:00,828.25
2016-01-07 11:00:00,1478.5
2016-01-07 12:00:00,1901
2016-01-07 13:00:00,2448.5
2016-01-07 14:00:00,1630
2016-01-07 15:00:00,443
2016-01-07 16:00:00,45.82875
2016-01-07 17:00:00,0
2016-01-07 18:00:00,0
2016-01-07 19:00:00,0
2016-01-07 20:00:00,0
2016-01-07 21:00:00,0
2016-01-07 22:00:00,0
2016-01-07 23:00:00,0
