time,kw
2015-01-01 00:00:00,41903
2015-01-01 01:00:00,43479
2015-01-01 02:00:00,43572
2015-01-01 03:00:00,43253
2015-01-01 04:00:00,43566
2015-01-01 05:00:00,43998
2015-01-01 06:00:00,44511
2015-01-01 07:00:00,45048
2015-01-01 08:00:00,46479
2015-01-01 09:00:00,46191
2015-01-01 10:00:00,46171
2015-01-01 11:00:00,45832
2015-01-01 12:00:00,45509
2015-01-01 13:00:00,45588
2015-01-01 14:00:00,45691
2015-01-01 15:00:00,45884
2015-01-01 16:00:00,44859
2015-01-01 17:00:00,47273
2015-01-01 18:00:00,45883
2015-01-01 19:00:00,45735
2015-01-01 20:00:00,45305
2015-01-01 21:00:00,44682
2015-01-01 22:00:00,44162
2015-01-01 23:00:00,43247
2015-01-02 00:00:00,42885
2015-01-02 01:00:00,43411
2015-01-02 02:00:00,43395
2015-01-02 03:00:00,43236
2015-01-02 04:00:00,43081
2015-01-02 05:00:00,44092
2015-01-02 06:00:00,44570
2015-01-02 07:00:00,45615
2015-01-02 08:00:00,47002
2015-01-02 09:00:00,46428
2015-01-02 10:00:00,46983
2015-01-02 11:00:00,47503
2015-01-02 12:00:00,47309
2015-01-02 13:00:00,46992
2015-01-02 14:00:00,47714
2015-01-02 15:00:00,46652
2015-01-02 16:00:00,46906
2015-01-02 17:00:00,47689
2015-01-02 18:00:00,48129
2015-01-02 19:00:00,48364
2015-01-02 20:00:00,47781
2015-01-02 21:00:00,47103
2015-01-02 22:00:00,46881
2015-01-02 23:00:00,46285
2015-01-03 00:00:00,44406
2015-01-03 01:00:00,42985
2015-01-03 02:00:00,43966
2015-01-03 03:00:00,44024
2015-01-03 04:00:00,43633
2015-01-03 05:00:00,43451
2015-01-03 06:00:00,43678
2015-01-03 07:00:00,44241
2015-01-03 08:00:00,44894
2015-01-03 09:00:00,44264
2015-01-03 10:00:00,44105
2015-01-03 11:00:00,44646
2015-01-03 12:00:00,44338
2015-01-03 13:00:00,44441
2015-01-03 14:00:00,44225
2015-01-03 15:00:00,43971
2015-01-03 16:00:00,43163
2015-01-03 17:00:00,43468
2015-01-03 18:00:00,43310
2015-01-03 19:00:00,42410
2015-01-03 20:00:00,43560
2015-01-03 21:00:00,42032
2015-01-03 22:00:00,41741
2015-01-03 23:00:00,41153
2015-01-04 00:00:00,40550
2015-01-04 01:00:00,39652
2015-01-04 02:00:00,39275
2015-01-04 03:00:00,40825
2015-01-04 04:00:00,39411
2015-01-04 05:00:00,39265
2015-01-04 06:00:00,39124
2015-01-04 07:00:00,40533
2015-01-04 08:00:00,40826
2015-01-04 09:00:00,41048
2015-01-04 10:00:00,41388
2015-01-04 11:00:00,42497
2015-01-04 12:00:00,41847
2015-01-04 13:00:00,41906
2015-01-04 14:00:00,41806
2015-01-04 15:00:00,42402
2015-01-04 16:00:00,42833
2015-01-04 17:00:00,43131
2015-01-04 18:00:00,43438
2015-01-04 19:00:00,43603
2015-01-04 20:00:00,43267
2015-01-04 21:00:00,42706
2015-01-04 22:00:00,42457
2015-01-04 23:00:00,41710
2015-01-05 00:00:00,41532
2015-01-05 01:00:00,41420
2015-01-05 02:00:00,41581
2015-01-05 03:00:00,40867
2015-01-05 04:00:00,40975
2015-01-05 05:00:00,41249
2015-01-05 06:00:00,43075
2015-01-05 07:00:00,45561
2015-01-05 08:00:00,45119
2015-01-05 09:00:00,46991
2015-01-05 10:00:00,48758
2015-01-05 11:00:00,52628
2015-01-05 12:00:00,52877
2015-01-05 13:00:00,50712
2015-01-05 14:00:00,51242
2015-01-05 15:00:00,51669
2015-01-05 16:00:00,50700
2015-01-05 17:00:00,49491
2015-01-05 18:00:00,47314
2015-01-05 19:00:00,46162
2015-01-05 20:00:00,45105
2015-01-05 21:00:00,44559
2015-01-05 22:00:00,43774
2015-01-05 23:00:00,43221
2015-01-06 00:00:00,42703
2015-01-06 01:00:00,42660
2015-01-06 02:00:00,42338
2015-01-06 03:00:00,42027
2015-01-06 04:00:00,42231
2015-01-06 05:00:00,42476
2015-01-06 06:00:00,42871
2015-01-06 07:00:00,44388
2015-01-06 08:00:00,47182
2015-01-06 09:00:00,49673
2015-01-06 10:00:00,49742
2015-01-06 11:00:00,50887
2015-01-06 12:00:00,50793
2015-01-06 13:00:00,51195
2015-01-06 14:00:00,51265
2015-01-06 15:00:00,51322
2015-01-06 16:00:00,50712
2015-01-06 17:00:00,49714
2015-01-06 18:00:00,47931
2015-01-06 19:00:00,46305
2015-01-06 20:00:00,45741
2015-01-06 21:00:00,45107
2015-01-06 22:00:00,44561
2015-01-06 23:00:00,43643
2015-01-07 00:00:00,43203
2015-01-07 01:00:00,43925
2015-01-07 02:00:00,43864
2015-01-07 03:00:00,44122
2015-01-07 04:00:00,44197
2015-01-07 05:00:00,44202
2015-01-07 06:00:00,44730
2015-01-07 07:00:00,45794
2015-01-07 08:00:00,48247
2015-01-07 09:00:00,50292
2015-01-07 10:00:00,50076
2015-01-07 11:00:00,51926
2015-01-07 12:00:00,51991
2015-01-07 13:00:00,52209
2015-01-07 14:00:00,51903
2015-01-07 15:00:00,52244
2015-01-07 16:00:00,51774
2015-01-07 17:00:00,50941
2015-01-07 18:00:00,49131
2015-01-07 19:00:00,48201
2015-01-07 20:00:00,47585
2015-01-07 21:00:00,46899
2015-01-07 22:00:00,46808
2015-01-07 23:00:00,47880
2015-01-08 00:00:00,46350
2015-01-08 01:00:00,47021
2015-01-08 02:00:00,46105
2015-01-08 03:00:00,46166
2015-01-08 04:00:00,45656
2015-01-08 05:00:00,45485
2015-01-08 06:00:00,46110
2015-01-08 07:00:00,47576
2015-01-08 08:00:00,49476
2015-01-08 09:00:00,51832
2015-01-08 10:00:00,51755
2015-01-08 11:00:00,51687
2015-01-08 12:00:00,52821
2015-01-08 13:00:00,51964
2015-01-08 14:00:00,53043
2015-01-08 15:00:00,53158
2015-01-08 16:00:00,52318
2015-01-08 17:00:00,51260
2015-01-08 18:00:00,48894
2015-01-08 19:00:00,47657
2015-01-08 20:00:00,47061
2015-01-08 21:00:00,46079
2015-01-08 22:00:00,46662
2015-01-08 23:00:00,46959
2015-01-09 00:00:00,46257
2015-01-09 01:00:00,45989
2015-01-09 02:00:00,46236
2015-01-09 03:00:00,46055
2015-01-09 04:00:00,46022
2015-01-09 05:00:00,45728
2015-01-09 06:00:00,46199
2015-01-09 07:00:00,47936
2015-01-09 08:00:00,51196
2015-01-09 09:00:00,53172
2015-01-09 10:00:00,53634
2015-01-09 11:00:00,53930
2015-01-09 12:00:00,54363
2015-01-09 13:00:00,54154
2015-01-09 14:00:00,53779
2015-01-09 15:00:00,52890
2015-01-09 16:00:00,52960
2015-01-09 17:00:00,51843
2015-01-09 18:00:00,49802
2015-01-09 19:00:00,47720
2015-01-09 20:00:00,47132
2015-01-09 21:00:00,45429
2015-01-09 22:00:00,44303
2015-01-09 23:00:00,46641
2015-01-10 00:00:00,46364
2015-01-10 01:00:00,45846
2015-01-10 02:00:00,46009
2015-01-10 03:00:00,45305
2015-01-10 04:00:00,45056
2015-01-10 05:00:00,44624
2015-01-10 06:00:00,45408
2015-01-10 07:00:00,45712
2015-01-10 08:00:00,46088
2015-01-10 09:00:00,45489
2015-01-10 10:00:00,48379
2015-01-10 11:00:00,49557
2015-01-10 12:00:00,48661
2015-01-10 13:00:00,49266
2015-01-10 14:00:00,48971
2015-01-10 15:00:00,49067
2015-01-10 16:00:00,48908
2015-01-10 17:00:00,49083
2015-01-10 18:00:00,48580
2015-01-10 19:00:00,48360
2015-01-10 20:00:00,48104
2015-01-10 21:00:00,46934
2015-01-10 22:00:00,47019
2015-01-10 23:00:00,46255
2015-01-11 00:00:00,46383
2015-01-11 01:00:00,45698
2015-01-11 02:00:00,45328
2015-01-11 03:00:00,45001
2015-01-11 04:00:00,45416
2015-01-11 05:00:00,43784
2015-01-11 06:00:00,44550
2015-01-11 07:00:00,45267
2015-01-11 08:00:00,45576
2015-01-11 09:00:00,43470
2015-01-11 10:00:00,43426
2015-01-11 11:00:00,44481
2015-01-11 12:00:00,44786
2015-01-11 13:00:00,45075
2015-01-11 14:00:00,44929
2015-01-11 15:00:00,44976
2015-01-11 16:00:00,44951
2015-01-11 17:00:00,45426
2015-01-11 18:00:00,44272
2015-01-11 19:00:00,44124
2015-01-11 20:00:00,43505
2015-01-11 21:00:00,42656
2015-01-11 22:00:00,42693
2015-01-11 23:00:00,42413
2015-01-12 00:00:00,41927
2015-01-12 01:00:00,41737
2015-01-12 02:00:00,41707
2015-01-12 03:00:00,41465
2015-01-12 04:00:00,41504
2015-01-12 05:00:00,41610
2015-01-12 06:00:00,42387
2015-01-12 07:00:00,43678
2015-01-12 08:00:00,45793
2015-01-12 09:00:00,49957
2015-01-12 10:00:00,51627
2015-01-12 11:00:00,52656
2015-01-12 12:00:00,52046
2015-01-12 13:00:00,51854
2015-01-12 14:00:00,52070
2015-01-12 15:00:00,53263
2015-01-12 16:00:00,52185
2015-01-12 17:00:00,50295
2015-01-12 18:00:00,48132
2015-01-12 19:00:00,47761
2015-01-12 20:00:00,46886
2015-01-12 21:00:00,46301
2015-01-12 22:00:00,46892
2015-01-12 23:00:00,45916
2015-01-13 00:00:00,45913
2015-01-13 01:00:00,45658
2015-01-13 02:00:00,43936
2015-01-13 03:00:00,43463
2015-01-13 04:00:00,43809
2015-01-13 05:00:00,43850
2015-01-13 06:00:00,44472
2015-01-13 07:00:00,47434
2015-01-13 08:00:00,49782
2015-01-13 09:00:00,50966
2015-01-13 10:00:00,53747
2015-01-13 11:00:00,54255
2015-01-13 12:00:00,53824
2015-01-13 13:00:00,52811
2015-01-13 14:00:00,52058
2015-01-13 15:00:00,52567
2015-01-13 16:00:00,51493
2015-01-13 17:00:00,50592
2015-01-13 18:00:00,47710
2015-01-13 19:00:00,45611
2015-01-13 20:00:00,44654
2015-01-13 21:00:00,43748
2015-01-13 22:00:00,43125
2015-01-13 23:00:00,42329
2015-01-14 00:00:00,42185
2015-01-14 01:00:00,41631
2015-01-14 02:00:00,41653
2015-01-14 03:00:00,41232
2015-01-14 04:00:00,41389
2015-01-14 05:00:00,41550
2015-01-14 06:00:00,42286
2015-01-14 07:00:00,43647
2015-01-14 08:00:00,46084
2015-01-14 09:00:00,48582
2015-01-14 10:00:00,49197
2015-01-14 11:00:00,49378
2015-01-14 12:00:00,49016
2015-01-14 13:00:00,48964
2015-01-14 14:00:00,49241
2015-01-14 15:00:00,49137
2015-01-14 16:00:00,44049
2015-01-14 17:00:00,46964
2015-01-14 18:00:00,44629
2015-01-14 19:00:00,43291
2015-01-14 20:00:00,36396
2015-01-14 21:00:00,36541
2015-01-14 22:00:00,37609
2015-01-14 23:00:00,41190
2015-01-15 00:00:00,40890
2015-01-15 01:00:00,40878
2015-01-15 02:00:00,40066
2015-01-15 03:00:00,40032
2015-01-15 04:00:00,40306
2015-01-15 05:00:00,40315
2015-01-15 06:00:00,40946
2015-01-15 07:00:00,42760
2015-01-15 08:00:00,44920
2015-01-15 09:00:00,46357
2015-01-15 10:00:00,46977
2015-01-15 11:00:00,47278
2015-01-15 12:00:00,46984
2015-01-15 13:00:00,46362
2015-01-15 14:00:00,46584
2015-01-15 15:00:00,46479
2015-01-15 16:00:00,47301
2015-01-15 17:00:00,46442
2015-01-15 18:00:00,45751
2015-01-15 19:00:00,46019
2015-01-15 20:00:00,45331
2015-01-15 21:00:00,44940
2015-01-15 22:00:00,44266
2015-01-15 23:00:00,43262
2015-01-16 00:00:00,42843
2015-01-16 01:00:00,42042
2015-01-16 02:00:00,43598
2015-01-16 03:00:00,43275
2015-01-16 04:00:00,43180
2015-01-16 05:00:00,43907
2015-01-16 06:00:00,37709
2015-01-16 07:00:00,40423
2015-01-16 08:00:00,43878
2015-01-16 09:00:00,46129
2015-01-16 10:00:00,39320
2015-01-16 11:00:00,40542
2015-01-16 12:00:00,39852
2015-01-16 13:00:00,41859
2015-01-16 14:00:00,43156
2015-01-16 15:00:00,47857
2015-01-16 16:00:00,47023
2015-01-16 17:00:00,45787
2015-01-16 18:00:00,45791
2015-01-16 19:00:00,47300
2015-01-16 20:00:00,47385
2015-01-16 21:00:00,47859
2015-01-16 22:00:00,47407
2015-01-16 23:00:00,46305
2015-01-17 00:00:00,45331
2015-01-17 01:00:00,44553
2015-01-17 02:00:00,44647
2015-01-17 03:00:00,44988
2015-01-17 04:00:00,44157
2015-01-17 05:00:00,43431
2015-01-17 06:00:00,43779
2015-01-17 07:00:00,44343
2015-01-17 08:00:00,43727
2015-01-17 09:00:00,44019
2015-01-17 10:00:00,45032
2015-01-17 11:00:00,45571
2015-01-17 12:00:00,46059
2015-01-17 13:00:00,45937
2015-01-17 14:00:00,45455
2015-01-17 15:00:00,45662
2015-01-17 16:00:00,45534
2015-01-17 17:00:00,45234
2015-01-17 18:00:00,44318
2015-01-17 19:00:00,45631
2015-01-17 20:00:00,44921
2015-01-17 21:00:00,45113
2015-01-17 22:00:00,45057
2015-01-17 23:00:00,44397
2015-01-18 00:00:00,43099
2015-01-18 01:00:00,42908
2015-01-18 02:00:00,42933
2015-01-18 03:00:00,42618
2015-01-18 04:00:00,43269
2015-01-18 05:00:00,43032
2015-01-18 06:00:00,43422
2015-01-18 07:00:00,44121
2015-01-18 08:00:00,45187
2015-01-18 09:00:00,45321
2015-01-18 10:00:00,46062
2015-01-18 11:00:00,46254
2015-01-18 12:00:00,46980
2015-01-18 13:00:00,47473
2015-01-18 14:00:00,47417
2015-01-18 15:00:00,47364
2015-01-18 16:00:00,46999
2015-01-18 17:00:00,46414
2015-01-18 18:00:00,45559
2015-01-18 19:00:00,45297
2015-01-18 20:00:00,44826
2015-01-18 21:00:00,44516
2015-01-18 22:00:00,43902
2015-01-18 23:00:00,43735
2015-01-19 00:00:00,41849
2015-01-19 01:00:00,41160
2015-01-19 02:00:00,40984
2015-01-19 03:00:00,41412
2015-01-19 04:00:00,41182
2015-01-19 05:00:00,41009
2015-01-19 06:00:00,41477
2015-01-19 07:00:00,42927
2015-01-19 08:00:00,43978
2015-01-19 09:00:00,45251
2015-01-19 10:00:00,46428
2015-01-19 11:00:00,47136
2015-01-19 12:00:00,47718
2015-01-19 13:00:00,48213
2015-01-19 14:00:00,47478
2015-01-19 15:00:00,47543
2015-01-19 16:00:00,47989
2015-01-19 17:00:00,47887
2015-01-19 18:00:00,47073
2015-01-19 19:00:00,47282
2015-01-19 20:00:00,46119
2015-01-19 21:00:00,46556
2015-01-19 22:00:00,45590
2015-01-19 23:00:00,44493
2015-01-20 00:00:00,43323
2015-01-20 01:00:00,42788
2015-01-20 02:00:00,41824
2015-01-20 03:00:00,40771
2015-01-20 04:00:00,41728
2015-01-20 05:00:00,42529
2015-01-20 06:00:00,43614
2015-01-20 07:00:00,45460
2015-01-20 08:00:00,48332
2015-01-20 09:00:00,51333
